"activity","type","Control summary-Main-begin editing","Control summary-Main-finish editing","Control summary-Main-initialize","Control summary-Main-save","Control summary-Main-take original document","Department control parcels-Main-begin editing","Department control parcels-Main-insert document","Department control parcels-Main-performed","Department control parcels-Main-save","Entitlement application-Change-begin editing","Entitlement application-Change-calculate","Entitlement application-Change-decide","Entitlement application-Change-finish editing","Entitlement application-Change-initialize","Entitlement application-Change-insert document","Entitlement application-Change-remove document","Entitlement application-Change-revoke decision","Entitlement application-Change-revoke withdrawal","Entitlement application-Change-withdraw","Entitlement application-Main-begin editing","Entitlement application-Main-calculate","Entitlement application-Main-decide","Entitlement application-Main-finish editing","Entitlement application-Main-initialize","Entitlement application-Main-insert document","Entitlement application-Main-mail valid","Entitlement application-Main-revoke decision","Entitlement application-Main-save","Entitlement application-Objection-approve","Entitlement application-Objection-begin admissibility check","Entitlement application-Objection-begin editing","Entitlement application-Objection-calculate","Entitlement application-Objection-check admissibility","Entitlement application-Objection-decide","Entitlement application-Objection-finish editing","Entitlement application-Objection-initialize","Entitlement application-Objection-insert document","Geo parcel document-Declared-begin editing","Geo parcel document-Declared-calculate","Geo parcel document-Declared-create","Geo parcel document-Declared-finish editing","Geo parcel document-Declared-finish pre-check","Geo parcel document-Declared-restart editing","Geo parcel document-Main-calculate protocol","Geo parcel document-Main-clear","Geo parcel document-Main-initialize","Geo parcel document-Main-insert document","Geo parcel document-Main-save","Geo parcel document-Reported-begin editing","Geo parcel document-Reported-calculate","Geo parcel document-Reported-finish editing","Geo parcel document-Reported-insert document","Inspection-On-Site-begin editing","Inspection-On-Site-begin preparations","Inspection-On-Site-cancel offline","Inspection-On-Site-finish editing","Inspection-On-Site-finish preparations","Inspection-On-Site-initialize","Inspection-On-Site-performed","Inspection-On-Site-performed offline","Inspection-On-Site-plan","Inspection-On-Site-prepare offline","Inspection-On-Site-save","Inspection-Remote-abort external","Inspection-Remote-begin editing","Inspection-Remote-begin preparations","Inspection-Remote-finish editing","Inspection-Remote-finish preparations","Inspection-Remote-initialize","Inspection-Remote-performed","Inspection-Remote-plan","Inspection-Remote-prepare external","Inspection-Remote-save","Parcel document-Main-begin editing","Parcel document-Main-check","Parcel document-Main-discard","Parcel document-Main-finish editing","Parcel document-Main-initialize","Parcel document-Main-insert document","Parcel document-Main-save","Payment application-Application-abort payment","Payment application-Application-begin editing","Payment application-Application-begin payment","Payment application-Application-calculate","Payment application-Application-decide","Payment application-Application-finish editing","Payment application-Application-finish payment","Payment application-Application-initialize","Payment application-Application-insert document","Payment application-Application-mail income","Payment application-Application-mail valid","Payment application-Application-remove document","Payment application-Application-revoke decision","Payment application-Change-abort payment","Payment application-Change-begin editing","Payment application-Change-begin payment","Payment application-Change-calculate","Payment application-Change-decide","Payment application-Change-finish editing","Payment application-Change-finish payment","Payment application-Change-initialize","Payment application-Change-insert document","Payment application-Main-insert document","Payment application-Main-remove document","Payment application-Main-save","Payment application-Objection-abort payment","Payment application-Objection-approve","Payment application-Objection-begin admissibility check","Payment application-Objection-begin editing","Payment application-Objection-begin editing from refused","Payment application-Objection-begin payment","Payment application-Objection-calculate","Payment application-Objection-check admissibility","Payment application-Objection-decide","Payment application-Objection-finish editing","Payment application-Objection-finish payment","Payment application-Objection-initialize","Payment application-Objection-insert document","Payment application-Objection-refuse","Reference alignment-Main-initialize","Reference alignment-Main-insert document","Reference alignment-Main-performed","Reference alignment-Main-remove document","Reference alignment-Main-save"
"Payment application-Change-abort payment","EFR_S","<","<","<","<","","<","","<","<","<","<","<","<","<","<","","","","","<","<","<","<","<","","<","","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","<","<","<","<","<","<","<","<","<","<","<","<","","<","<","","<","@","<","||","<","<","<",">","<","<","<","","<","","","","","","","","","","","","","","","<","","<","","<"
"Payment application-Change-begin editing","EFR_N","46","46","46","93","0","7","0","46","4","8","13","11","6","7","19","6","1","1","1","108","128","27","108","27","1","54","0","7","1","1","1","1","1","1","1","1","3","50","2","34","2","3","2","2","0","20","8","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","34","1","3","26","2","7","53","95","99","317","85","134","46","46","20","46","46","0","39","6","10","24","77","21","18","18","10","19","26","30","31","0","1","1","1","0","1","2","1","1","1","1","1","1","0","46","5","46","0","6"
"Payment application-Change-begin editing","EFR_S","<","<","<","<","","||","","<","||","||","||","||","||","||","||","||",">",">","<","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","<","||","<","||","<","<",">","","<","<","||","||","","","","","","","","","","","","","","","","","","","","","","","","","<","<","<","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<",">","@","||","||","||","||","||","||","||","||","||","||","","<","<","<","","<","<","<","<","<","<","<","<","","<","||","<","","||"
"Payment application-Change-begin payment","EFR_N","23","23","23","43","0","3","0","23","1","4","4","20","19","4","5","4","0","0","0","83","94","20","83","20","1","40","0","1","0","0","0","0","0","0","0","0","0","12","11","10","17","1","0","0","0","4","1","21","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","26","0","1","19","1","3","26","31","49","120","38","46","23","23","4","23","23","0","15","12","4","12","4","26","23","23","4","24","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","2","23","0","3"
"Payment application-Change-begin payment","EFR_S","<","<","<","<","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","","","","","","","","","","<","<","<","<","<","","","","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<","||","||","@","||","<","<",">","||","<","||","||","||","","","","","","","","","","","","","","","<","||","<","","||"
"Payment application-Change-calculate","EFR_N","67","67","67","127","0","12","0","67","6","13","20","13","8","12","29","10","1","1","1","157","189","40","157","40","2","80","0","11","1","1","1","1","1","1","1","1","3","75","3","61","3","9","3","2","0","29","13","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","52","1","4","38","3","10","81","125","148","449","119","177","67","67","29","67","67","0","52","12","13","50","51","43","38","38","13","44","31","33","46","0","1","1","1","0","1","2","1","1","1","1","1","1","0","67","7","67","0","10"
"Payment application-Change-calculate","EFR_S","<","<","<","<","","||","","<","||","||","||","||","||","||","||","||",">",">","<","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","<","||","<","||","<","<",">","","<","<","||","||","","","","","","","","","","","","","","","","","","","","","","","","","<","<","<","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<",">","||","||","@","||","||","||","||","||","||","||","||","","<","<","<","","<","<","<","<","<","<","<","<","","<","||","<","","||"
"Payment application-Change-decide","EFR_N","20","20","20","32","0","3","0","20","1","5","6","16","14","5","9","5","0","0","0","62","86","17","62","17","3","34","0","4","0","0","0","0","0","0","0","0","0","18","13","12","23","1","0","0","0","6","1","25","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","17","0","1","14","1","3","23","28","43","115","35","43","20","20","6","20","20","0","15","6","4","26","4","4","20","20","4","21","5","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","2","20","0","3"
"Payment application-Change-decide","EFR_S","<","<","<","<","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","","","","","","","","","","<","<","<","<","<","","","","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<",">","||",">","||","@","<",">","||",">","||","||","||","","","","","","","","","","","","","","","<","||","<","","||"
"Payment application-Change-finish editing","EFR_N","17","17","17","31","0","3","0","17","1","5","6","14","13","5","10","5","0","0","0","56","67","14","56","14","1","28","0","5","0","0","0","0","0","0","0","0","0","12","11","10","17","1","0","0","0","4","1","21","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","17","0","1","13","1","3","20","25","37","93","29","37","17","17","4","17","17","0","12","6","4","23","4","20","0","17","4","18","5","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","2","17","0","3"
"Payment application-Change-finish editing","EFR_S","<","<","<","<","","||","","<","||","||","||","<","<","||","||",">","","","","<","<","<","<","<","<","<","","||","","","","","","","","","","<","<","<","<","<","","","","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<",">","||",">","||",">","",">","||",">","||","||","||","","","","","","","","","","","","","","","<","||","<","","||"
"Payment application-Change-finish payment","EFR_N","17","17","17","31","0","3","0","17","1","4","4","14","13","4","5","4","0","0","0","56","67","14","56","14","1","28","0","1","0","0","0","0","0","0","0","0","0","12","11","10","17","1","0","0","0","4","1","21","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","17","0","1","13","1","3","20","25","37","93","29","37","17","17","4","17","17","0","12","6","4","23","4","20","17","0","4","18","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","2","17","0","3"
"Payment application-Change-finish payment","EFR_S","<","<","<","<","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","","","","","","","","","","<","<","<","<","<","","","","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<","<","||","<","||","<","<","","||","<","||","||","||","","","","","","","","","","","","","","","<","||","<","","||"
"Payment application-Change-initialize","EFR_N","46","46","46","93","0","7","0","46","4","8","13","11","6","7","19","6","1","1","1","108","128","27","108","27","1","54","0","7","1","1","1","1","1","1","1","1","3","50","2","34","2","3","2","2","0","20","8","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","34","1","3","26","2","7","53","95","99","317","85","134","46","46","20","46","46","0","39","6","56","24","77","21","18","18","10","19","26","30","31","0","1","1","1","0","1","2","1","1","1","1","1","1","0","46","5","46","0","6"
"Payment application-Change-initialize","EFR_S","<","<","<","<","","||","","<","||","||","||","||","||","||","||","||",">",">","<","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","<","||","<","||","<","<",">","","<","<","||","||","","","","","","","","","","","","","","","","","","","","","","","","","<","<","<","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<",">","||","||","||","||","||","||","@","||","||","||","||","","<","<","<","","<","<","<","<","<","<","<","<","","<","||","<","","||"
"Payment application-Change-insert document","EFR_N","18","18","18","31","0","3","0","18","1","4","4","14","13","4","5","4","0","0","0","56","67","14","56","14","1","28","0","1","0","0","0","0","0","0","0","0","0","15","18","14","24","2","0","0","0","5","2","34","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","17","0","1","13","1","3","21","26","39","102","31","39","18","18","5","18","18","0","13","6","4","24","4","21","18","18","4","1","5","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","2","18","0","3"
"Payment application-Change-insert document","EFR_S","<","<","<","<","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","","","","","","","","","","<","<","<","<","<","","","","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","||","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<",">","||",">","||","<","<",">","||","@","||","||","||","","","","","","","","","","","","","","","<","||","<","","||"
"Payment application-Main-insert document","EFR_N","66","66","66","10","0","12","0","65","9","13","21","18","10","11","29","9","2","1","1","1","1","1","1","41","1","82","0","15","3","3","3","6","3","4","3","5","5","64","2","42","2","6","3","2","0","27","10","5","6","4","4","0","0","1","0","1","1","1","1","0","1","0","1","3","1","4","2","4","1","1","1","4","7","39","4","2","15","39","3","23","76","1","1","6","3","3","1","66","4","66","66","0","1","6","60","26","82","25","20","20","60","21","31","34","60","3","3","8","6","1","7","15","8","7","7","4","6","4","1","66","7","66","0","27"
"Payment application-Main-insert document","EFR_S","<","<","<","||","","||","","<","||","||","||","||","||","||","||","||",">",">","<","||","||","||","||","<","||","<","","||","||","||","||","||","||","||","||","<","||","<","||","<","||","<","<",">","","<","<","||","||","||","||","","",">","",">",">","<",">","","<","","||","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||","<","||","||","||","||","||","||","<","||","<","<","","||",">","||","||","||","||","||","||","||","||","@","||","||",">","||","||","||",">","||","||","||","||","||","||","<","||",">","<","||","<","","||"
"Payment application-Main-remove document","EFR_N","22","22","22","60","0","1","0","22","1","1","2","6","3","14","3","1","1","1","1","52","61","13","52","13","0","26","0","2","1","1","1","1","1","1","1","1","3","20","18","12","23","2","1","0","0","9","4","32","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","17","1","45","13","1","2","27","47","49","153","42","67","22","22","9","22","22","0","20","0","6","1","6","1","1","1","6","1","19","5","21","0","1","1","1","0","1","2","1","1","1","1","1","1","0","22","1","22","0","1"
"Payment application-Main-remove document","EFR_S","<","<","<","<","","||","","<","||","||","||","||","||","<","||","||",">",">","<","<","<","<","<","<","","<","","||","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","","","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","<","<","<","<","<","||","||","<","<","<","<","<","<","<","<","<","<","<","","<","","||","||","||","||","||","||","||","||","||","@","||","","<","<","<","","<","<","<","<","<","<","<","<","","<","||","<","","||"
"Payment application-Main-save","EFR_N","38","38","38","2","0","5","0","37","3","4","5","6","3","3","7","3","1","0","0","1","1","1","1","25","2","50","0","3","6","6","6","12","6","8","6","6","12","33","40","25","46","6","1","0","0","14","8","68","4","4","4","0","0","1","0","1","1","1","1","0","1","0","1","3","1","4","2","4","1","1","1","4","7","24","2","1","4","24","1","6","1","1","6","11","7","7","5","38","8","38","38","1","2","3","8","12","8","1","1","9","8","1","11","8","16","4","1","16","1","2","11","2","1","1","1","7","8","1","2","38","1","38","0","8"
"Payment application-Main-save","EFR_S","<","<","<","||","","||","","<","||","||","||","||","||","||","||","||",">","","","||","||","||","||","<","||","<","","||","<","<","<","<","<","<","<","<","<","<","<","<","<","<","<","","","<","<","<","||","||","||","","",">","",">",">","<",">","","<","","||","<","<","<","<","<","<","<","<","<","<","<","||","<","||","<","||","||","||","||","||","||","||","||","||","<","||","<","<","<","||",">","||","||","||","||","||","||","||","||","||","||","@",">","||","<","||","<","||","||","||","||","||","||","<","||","<","<","||","<","","||"
"Payment application-Objection-abort payment","EFR_N","3","3","3","11","0","2","0","3","2","0","0","0","0","0","3","0","0","0","0","11","16","3","11","3","2","6","0","3","3","3","3","6","3","4","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","1","3","1","1","4","3","7","11","5","5","3","3","0","3","3","0","2","0","0","0","0","0","0","0","0","0","3","0","4","1","3","7","3","0","4","8","7","5","3","3","3","3","0","3","1","3","0","3"
"Payment application-Objection-abort payment","EFR_S","<","<","<","<","","<","","<","<","","","","","","<","","","","","<","<","<","<","<","<","<","","<","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","<","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","","","","","","","","","","<","","<","@","<","<","<","","||","<","<","<","<",">","<","<","","<","<","<","","||"
"Payment application-Objection-approve","EFR_N","3","3","3","1","0","1","0","3","1","1","1","1","1","1","2","1","0","0","0","12","15","3","12","3","1","6","0","2","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","3","2","2","5","3","8","12","5","5","3","3","0","3","3","0","2","0","1","0","1","0","0","0","1","0","2","1","5","3","0","7","3","0","6","4","7","4","3","3","3","3","0","3","3","3","0","3"
"Payment application-Objection-approve","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||",">","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||",">","","<",">","",">","||","<",">",">",">","<",">","","<","<","<","","||"
"Payment application-Objection-begin admissibility check","EFR_N","8","8","8","13","0","5","0","8","5","2","3","1","1","2","4","2","0","0","0","28","35","8","28","8","1","16","0","7","7","7","7","4","7","8","4","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","14","8","7","14","14","8","22","30","11","11","8","8","0","8","8","0","3","0","1","0","1","0","0","0","1","0","2","1","16","7","7","10","10","1","15","23","18","11","11","8","8","8","1","8","7","8","0","19"
"Payment application-Objection-begin admissibility check","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||",">","","","","<","<","<","<","<","<","<","","||","<","<","<","||","<","||","||","<","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">",">",">",">","@",">",">",">",">","||",">",">",">","<",">",">","<","<","<","","||"
"Payment application-Objection-begin editing","EFR_N","6","6","6","1","0","1","0","6","1","1","1","1","1","1","2","1","0","0","0","24","27","6","24","6","1","12","0","2","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","2","6","5","2","8","6","14","30","11","11","6","6","0","6","6","0","5","0","1","0","1","0","0","0","1","0","2","1","11","3","3","10","3","3","9","12","10","9","9","6","6","6","3","6","3","6","0","3"
"Payment application-Objection-begin editing","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||",">","<","<","@","<",">","||","<","||","||",">","<",">","<","<","<","<","","||"
"Payment application-Objection-begin editing from refused","EFR_N","1","1","1","0","0","0","0","1","0","1","2","0","0","1","2","1","0","0","0","4","4","1","4","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","1","1","2","1","1","2","6","2","2","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","1","3","0","1","6","1","3","4","1","1","1","1","1","0","1","0","0"
"Payment application-Objection-begin editing from refused","EFR_S","<","<","<","","","","","<","",">",">","","",">",">",">","","","","<","<","<","<","<","","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","","","<","<","<","<","<","<","<","<","<","<","<","<","","<","<","","<","","","","","","","","","","<","",">","","","<",">","",">","||","<",">",">",">","<",">","<","<","","<","",""
"Payment application-Objection-begin payment","EFR_N","7","7","7","30","0","1","0","7","1","1","1","1","1","1","2","1","0","0","0","27","35","7","27","7","3","14","0","1","6","6","6","12","6","8","6","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","3","7","4","3","10","7","17","29","12","12","7","7","0","7","7","0","5","0","1","0","1","0","0","0","1","0","2","1","1","4","6","15","9","1","4","23","15","12","10","7","7","7","1","7","4","7","0","6"
"Payment application-Objection-begin payment","EFR_S","<","<","<","<","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||","||","<","<","<","<","@","<","<","<","<",">","<","<","<","<","<","<","","||"
"Payment application-Objection-calculate","EFR_N","15","15","15","2","0","2","0","15","2","5","8","2","2","5","10","5","0","0","0","60","68","15","60","15","3","30","0","7","7","7","7","13","7","9","7","7","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2","0","4","15","12","4","19","15","34","76","28","28","15","15","0","15","15","0","13","0","2","0","2","0","0","0","2","0","4","2","27","8","3","23","19","2","23","33","1","28","30","15","15","15","1","15","6","15","0","6"
"Payment application-Objection-calculate","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||",">","||","<","||","||",">","@","||","||","||",">","<",">","||","<","<","<","","||"
"Payment application-Objection-check admissibility","EFR_N","8","8","8","11","0","4","0","8","4","2","3","1","1","2","4","2","0","0","0","28","35","8","28","8","1","16","0","6","7","7","7","3","7","6","3","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","12","8","7","12","14","8","22","30","11","11","8","8","0","8","8","0","3","0","1","0","1","0","0","0","1","0","2","1","15","7","7","10","10","1","15","22","10","11","11","8","8","8","1","8","7","8","0","18"
"Payment application-Objection-check admissibility","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||",">","","","","<","<","<","<","<","<","<","","||","<","<","<","||","<","||","||","<","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||",">",">","||",">",">",">","||","@",">",">",">","<",">",">","<","<","<","","||"
"Payment application-Objection-decide","EFR_N","7","7","7","1","0","1","0","7","1","2","3","1","1","2","4","2","0","0","0","28","33","7","28","7","2","14","0","2","4","4","4","7","4","5","4","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","2","7","5","2","9","7","16","34","13","13","7","7","0","7","7","0","6","0","1","0","1","0","0","0","1","0","2","1","12","5","4","11","4","3","12","6","11","4","4","7","7","7","3","7","3","7","0","3"
"Payment application-Objection-decide","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||",">","<","<","||","<",">","||","<","@","||",">","<",">","<","<","<","<","","||"
"Payment application-Objection-finish editing","EFR_N","7","7","7","1","0","1","0","7","1","2","3","1","1","2","4","2","0","0","0","28","31","7","28","7","1","14","0","2","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","2","7","6","2","9","7","16","36","13","13","7","7","0","7","7","0","6","0","1","0","1","0","0","0","1","0","2","1","13","3","3","11","6","4","10","9","11","12","6","7","7","7","4","7","3","7","0","3"
"Payment application-Objection-finish editing","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||",">","<","<","||","<",">","||","<","||","@",">","<",">","<","<","<","<","","||"
"Payment application-Objection-finish payment","EFR_N","4","4","4","19","0","1","0","4","1","1","1","1","1","1","2","1","0","0","0","16","19","4","16","4","1","8","0","1","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","2","4","3","2","6","4","10","18","7","7","4","4","0","4","4","0","3","0","1","0","1","0","0","0","1","0","2","1","1","3","3","8","6","1","7","15","8","7","7","0","4","4","1","4","3","4","0","3"
"Payment application-Objection-finish payment","EFR_S","<","<","<","<","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||","<","<","<","<","<","<","<","<","<","<","","<","<","<","<","<","<","","||"
"Payment application-Objection-initialize","EFR_N","4","4","4","10","0","4","0","4","4","3","4","1","1","3","7","2","0","0","0","16","19","4","16","4","1","8","0","7","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","12","4","3","14","6","4","10","18","7","7","4","4","0","4","4","0","3","0","1","0","1","0","0","0","1","0","6","1","8","3","3","8","6","1","7","15","8","7","7","4","0","4","1","4","1","4","0","20"
"Payment application-Objection-initialize","EFR_S","<","<","<","||","","||","","<","||",">",">",">",">",">","||",">","","","","<","<","<","<","<","<","<","",">",">",">",">",">",">",">",">","<",">","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","",">",">",">",">",">",">",">",">",">",">",">",">",">",">","",">",">","<","||","<","","||"
"Payment application-Objection-insert document","EFR_N","4","4","4","1","0","1","0","4","1","1","1","1","1","1","2","1","0","0","0","16","19","4","16","4","1","8","0","1","3","3","3","6","3","4","3","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","2","4","3","2","6","4","10","18","7","7","4","4","0","4","4","0","3","0","1","0","1","0","0","0","1","0","2","1","7","3","3","8","6","1","7","15","8","7","7","4","4","0","1","4","3","4","0","3"
"Payment application-Objection-insert document","EFR_S","<","<","<","||","","||","","<","||","||","||","<","<","||","||","||","","","","<","<","<","<","<","<","<","","||","<","<","<","<","<","<","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","||","","||","<","<","||","<","<","<","<","<","<","<","<","","<","<","","<","",">","",">","","","",">","","||",">","||",">","<","<","<","<",">","<","<","<","<",">","<","","<","<","<","<","","||"
"Payment application-Objection-refuse","EFR_N","1","1","1","0","0","0","0","1","0","1","2","0","0","1","2","1","0","0","0","4","4","1","4","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","1","1","2","1","1","2","6","2","2","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","1","3","1","1","7","1","3","4","1","1","1","0","1","0","1","0","0"
